                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2449,                 1.3298,                 1.3415,                0.76387,                0.62693,                0.70942,                 0.4267,                 1.3799,                 1.2465,                 1.2827,               0.007624,               0.007624,               0.007624
                     50,                 1.2411,                  1.323,                 1.3445,                0.75982,                0.63353,                0.71108,                0.41529,                 1.4023,                 1.2333,                 1.2919,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2452,                 1.3285,                 1.3417,                0.76038,                0.64262,                0.71916,                0.43153,                 1.3798,                 1.2147,                 1.2759,               0.007525,               0.007525,               0.007525
                     52,                 1.2287,                 1.3094,                 1.3331,                 0.7494,                0.65353,                 0.7233,                0.44244,                 1.3481,                  1.196,                 1.2589,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.231,                 1.3086,                 1.3319,                0.75653,                0.65041,                0.71706,                0.40922,                 1.4357,                 1.2185,                 1.3063,               0.007426,               0.007426,               0.007426
                     54,                 1.2348,                 1.2995,                 1.3296,                0.76912,                0.65387,                0.72362,                0.43693,                 1.3605,                 1.1923,                  1.263,              0.0073765,              0.0073765,              0.0073765
                     55,                  1.221,                 1.2982,                 1.3371,                0.75886,                0.65429,                0.72331,                 0.4377,                 1.3676,                 1.2011,                 1.2784,               0.007327,               0.007327,               0.007327
                     56,                 1.2258,                 1.2951,                 1.3274,                0.78481,                0.64845,                0.73469,                0.45027,                 1.3438,                 1.1726,                 1.2544,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2211,                 1.2943,                 1.3294,                 0.7529,                0.64665,                0.71769,                0.41383,                 1.4207,                 1.2167,                 1.3042,               0.007228,               0.007228,               0.007228
                     58,                 1.2271,                 1.2839,                 1.3281,                 0.7776,                0.65748,                0.73678,                0.44899,                 1.3319,                 1.1737,                  1.248,              0.0071785,              0.0071785,              0.0071785
